"ID";"od";"dd";"size";"price";"tax";"a6";"a7";"a8";"a9"
103939;"2012-06-26";"?";"l";29.9;5.68;4;"1900-11-19";8;0
11788;"2012-04-10";"2012-04-11";"l";49.9;9.48;4;"1953-05-24";7;1
96553;"2012-06-20";"2012-06-21";"m";59.9;11.38;4;"1954-04-10";11;0
100950;"2012-06-24";"2012-06-26";"l";69.9;13.28;4;"1965-01-11";7;0
223454;"2012-09-22";"1990-12-31";"xxl";89.9;17.08;4;"1962-05-11";10;0
63989;"2012-05-22";"2012-05-23";"xxl";39.9;7.58;4;"1955-05-23";15;1
195019;"2012-09-06";"2012-09-07";"xl";39.9;7.58;4;"1969-03-25";10;1
183130;"2012-08-25";"2012-08-29";"m";59.9;11.38;2;"1971-04-15";1;0
337506;"2013-01-13";"2013-01-21";"S";69.9;13.28;4;"1957-01-23";1;1
477624;"2013-03-29";"2013-04-11";"XL";39.9;7.58;4;"1967-07-03";11;0
56673;"2012-05-17";"2012-05-22";"l";69.9;13.28;4;"1967-06-22";7;0
4303;"2012-04-05";"2012-04-09";"l";59.9;11.38;4;"1966-11-30";3;0
429585;"2013-03-06";"2013-03-07";"L";69.9;13.28;4;"1969-02-06";15;1
147625;"2012-08-01";"2012-08-03";"m";199.9;37.98;4;"1977-07-21";8;1
249941;"2012-10-15";"2012-10-22";"m";199.9;37.98;4;"?";7;1
254168;"2012-10-18";"2012-12-07";"m";29.9;5.68;4;"1961-11-20";2;0
201275;"2012-09-12";"2012-11-09";"s";39.9;7.58;4;"1952-11-30";10;1
470819;"2013-03-25";"2013-04-19";"XXL";49.9;9.48;4;"?";10;0
177251;"2012-08-22";"2012-09-24";"xl";34.95;6.64;4;"1970-02-23";10;0
249392;"2012-10-14";"2012-10-30";"xxl";99.9;18.98;4;"1960-09-24";10;0
436295;"2013-03-09";"2013-03-11";"L";16.9;3.21;4;"1955-02-17";8;1
10060;"2012-04-08";"2012-04-13";"m";21.9;4.16;3;"1970-11-19";6;0
157244;"2012-08-07";"2012-08-08";"xxl";29.9;5.68;4;"1968-07-03";7;1
54754;"2012-05-15";"2012-05-18";"xl";69.9;13.28;4;"?";10;1
269509;"2012-10-30";"2012-12-12";"m";49.9;9.48;4;"1956-03-13";15;0
442174;"2013-03-11";"2013-03-12";"M";49.9;9.48;4;"1957-03-10";11;0
197437;"2012-09-08";"2012-09-14";"xl";26.9;5.11;4;"1959-09-01";10;0
190288;"2012-09-02";"2012-09-04";"xxl";39.9;7.58;4;"1960-11-06";15;0
466394;"2013-03-23";"2013-05-01";"XXL";26.9;5.11;4;"1959-01-12";10;0
414885;"2013-03-01";"2013-03-05";"XXL";69.9;13.28;4;"1971-09-13";10;1
93083;"2012-06-16";"2012-06-19";"xl";59.9;11.38;4;"1968-04-03";10;0
468748;"2013-03-24";"2013-05-30";"L";26.9;5.11;4;"1965-05-29";2;0
236984;"2012-10-03";"2012-10-04";"xxl";34.9;6.63;4;"1980-07-03";2;1
436840;"2013-03-09";"2013-03-12";"XXL";119.9;22.78;4;"1953-11-21";8;1
2292;"2012-04-02";"?";"s";9.9;1.88;4;"1972-12-09";11;0
427391;"2013-03-05";"2013-03-07";"XL";24.9;4.73;4;"?";15;0
399018;"2013-02-22";"?";"XL";NA;NA;4;"1977-08-03";13;0
455079;"2013-03-17";"2013-03-19";"M";29.9;5.68;4;"1957-06-17";7;1
115040;"2012-06-29";"2012-07-02";"xxl";44.9;8.53;4;"1958-12-31";7;1
373926;"2013-02-01";"2013-04-18";"S";59.9;11.38;4;"1966-07-18";7;0
463207;"2013-03-21";"2013-04-25";"L";79.9;15.18;4;"1958-05-15";10;0
359219;"2013-01-22";"2013-01-24";"M";49.9;9.48;4;"1966-06-09";10;1
293544;"2012-12-03";"2012-12-05";"M";29.9;5.68;4;"1968-11-08";8;1
83244;"2012-06-06";"2012-06-07";"m";69.95;13.29;4;"1969-10-07";11;1
197249;"2012-09-08";"2012-09-11";"l";16.9;3.21;4;"1977-09-01";8;0
93272;"2012-06-16";"2012-06-19";"l";24.9;4.73;4;"1960-05-21";11;1
403856;"2013-02-25";"2013-02-27";"L";34.9;6.63;4;"?";8;0
341279;"2013-01-14";"?";"XXL";19.9;3.78;4;"1970-02-26";2;0
117719;"2012-06-29";"2012-07-06";"s";39.9;7.58;4;"1969-05-05";1;0
450897;"2013-03-15";"2013-03-18";"L";26.9;5.11;4;"1966-03-23";8;0
479396;"2013-03-30";"2013-04-04";"XL";99.9;18.98;4;"1975-06-16";1;1
273843;"2012-11-05";"2012-11-06";"m";NA;NA;4;"1949-11-19";2;1
301628;"2012-12-15";"2012-12-17";"M";29.9;5.68;4;"1979-08-23";1;1
435237;"2013-03-08";"2013-03-13";"M";99.9;18.98;4;"1959-07-06";5;0
115175;"2012-06-29";"?";"l";17.4;3.31;4;"1965-06-08";2;0
441421;"2013-03-11";"2013-03-13";"L";69.9;13.28;4;"1969-09-23";1;0
334569;"2013-01-12";"2013-02-04";"S";49.9;9.48;4;"?";2;1
370945;"2013-01-30";"2013-01-31";"L";24.9;4.73;4;"1961-07-16";7;1
327562;"2013-01-10";"?";"XL";29.9;5.68;4;"1979-05-07";12;0
68262;"2012-05-25";"2012-05-29";"xl";69.9;13.28;4;"1962-07-17";5;1
83912;"2012-06-07";"2012-06-12";"xxl";29.9;5.68;4;"1963-03-02";1;1
157494;"2012-08-07";"2012-08-08";"s";49.9;9.48;4;"1964-04-14";7;0
186702;"2012-08-29";"2012-08-31";"xxl";89.9;17.08;4;"1961-05-06";3;0
33536;"2012-04-26";"2012-04-30";"m";99.9;18.98;4;"1966-07-20";11;1
416592;"2013-03-02";"?";"XL";26.9;5.11;4;"1951-08-21";10;0
125406;"2012-07-03";"1990-12-31";"m";59.9;11.38;4;"1967-06-10";10;0
290784;"2012-11-28";"?";"L";119.9;22.78;4;"1971-01-19";5;0
161594;"2012-08-09";"2012-08-13";"xl";26.9;5.11;4;"1961-11-26";11;1
260795;"2012-10-22";"2012-10-24";"l";49.9;9.48;4;"?";9;0
391099;"2013-02-15";"?";"XL";99.9;18.98;4;"1962-04-26";8;0
73622;"2012-05-29";"2012-06-01";"m";49.9;9.48;4;"1965-04-22";10;1
88366;"2012-06-10";"2012-06-18";"xl";49.9;9.48;4;"1966-01-14";2;1
329515;"2013-01-10";"?";"M";29.9;5.68;4;"1958-07-31";3;0
409093;"2013-02-28";"2013-03-01";"L";44.9;8.53;4;"1967-08-20";14;1
95941;"2012-06-19";"2012-06-20";"m";59.9;11.38;4;"1962-09-09";10;0
58412;"2012-05-18";"2012-05-22";"l";39.9;7.58;4;"1981-05-07";11;0
326256;"2013-01-09";"2013-01-11";"XXL";16.9;3.21;4;"1955-04-09";10;0
480356;"2013-03-31";"2013-06-21";"XL";69.9;13.28;4;"1960-07-23";1;1
274307;"2012-11-05";"2012-11-07";"xxl";19.9;3.78;4;"1944-11-12";8;0
184278;"2012-08-27";"2012-08-29";"m";26.9;5.11;4;"?";7;0
97922;"2012-06-21";"2012-06-26";"xl";9.9;1.88;4;"1973-06-06";10;0
219401;"2012-09-19";"2012-09-21";"m";21.9;4.16;4;"1950-05-15";1;0
10444;"2012-04-08";"2012-04-11";"s";39.9;7.58;4;"1969-09-18";13;0
294970;"2012-12-05";"2012-12-06";"L";49.9;9.48;4;"1957-11-18";12;1
108988;"2012-06-27";"?";"xl";16.4;3.12;4;"1962-10-01";1;0
215227;"2012-09-17";"2012-09-26";"xl";59.9;11.38;4;"1958-10-14";5;1
329519;"2013-01-10";"?";"M";29.9;5.68;4;"1958-07-31";3;0
52484;"2012-05-13";"2012-05-15";"l";21.9;4.16;4;"1970-12-31";10;1
462142;"2013-03-21";"2013-04-09";"L";79.9;15.18;4;"?";5;1
433447;"2013-03-07";"2013-03-11";"XL";69.9;13.28;4;"1976-11-17";11;0
210475;"2012-09-15";"2012-11-05";"l";59.9;11.38;4;"1970-07-03";10;0
101474;"2012-06-24";"2012-06-26";"xxl";49.9;9.48;4;"1960-09-28";10;0
75052;"2012-05-30";"2012-06-01";"m";21.9;4.16;4;"1978-02-10";8;0
462948;"2013-03-21";"2013-03-22";"m";64.9;12.33;4;"1955-12-12";2;0
46569;"2012-05-08";"?";"xl";29.9;5.68;4;"1963-08-25";2;0
361983;"2013-01-24";"2013-01-25";"XXL";29.9;5.68;4;"1970-09-10";8;0
74900;"2012-05-30";"2012-06-01";"xl";29.9;5.68;4;"1970-03-28";1;0
282024;"2012-11-17";"2013-01-04";"XL";49.9;9.48;4;"1972-09-11";2;1
139449;"2012-07-20";"2012-07-23";"xxl";39.9;7.58;4;"1967-09-08";10;0
97884;"2012-06-21";"1990-12-31";"xl";59.9;11.38;4;"1979-12-19";2;1
462930;"2013-03-21";"2013-04-04";"L";49.9;9.48;4;"1963-09-16";10;1
364931;"2013-01-26";"2013-01-28";"S";99.9;18.98;4;"?";10;0
142519;"2012-07-25";"2012-07-26";"l";49.9;9.48;4;"1963-08-31";10;0
114142;"2012-06-29";"2012-07-16";"xl";34.9;6.63;4;"1963-08-12";10;0
90454;"2012-06-14";"2012-06-27";"l";49.9;9.48;4;"1953-07-10";1;0
342635;"2013-01-14";"2013-01-15";"XL";59.9;11.38;4;"1962-10-24";15;0
264691;"2012-10-25";"2012-10-30";"l";49.9;9.48;4;"1953-06-09";1;0
219384;"2012-09-19";"2012-10-30";"xxl";49.9;9.48;4;"1960-12-25";10;1
211086;"2012-09-15";"2012-09-18";"l";69.9;13.28;4;"1959-12-20";10;1
130509;"2012-07-06";"2012-07-16";"xxl";39.9;7.58;4;"1972-12-09";3;0
64300;"2012-05-22";"2012-05-24";"xxl";39.9;7.58;4;"1958-02-26";10;0
137453;"2012-07-16";"2012-07-19";"m";NA;NA;4;"1984-03-14";2;1
305176;"2012-12-18";"2012-12-19";"XXL";59.9;11.38;4;"1971-01-03";8;0
281973;"2012-11-17";"2012-11-20";"M";39.9;7.58;4;"1959-12-09";15;0
329193;"2013-01-10";"2013-02-19";"L";34.9;6.63;4;"1964-11-15";10;1
182905;"2012-08-26";"2012-08-28";"m";69.9;13.28;4;"1965-11-12";10;1
475119;"2013-03-28";"2013-03-29";"M";49.9;9.48;4;"1962-12-23";10;1
14401;"2012-04-10";"2012-04-13";"m";29.9;5.68;4;"1957-08-10";8;0
430007;"2013-03-06";"2013-04-04";"XL";24.9;4.73;4;"1959-01-16";8;0
60966;"2012-05-20";"2012-05-23";"s";19.9;3.78;4;"1972-03-28";10;1
313041;"2012-12-29";"2013-01-01";"XL";109;20.71;4;"1970-05-12";10;0
415686;"2013-03-02";"2013-03-04";"L";79.9;15.18;4;"1967-08-25";10;0
55351;"2012-05-16";"2012-05-17";"l";69.9;13.28;4;"1963-08-07";1;1
432909;"2013-03-07";"2013-03-08";"m";59.9;11.38;4;"1959-08-29";1;0
341470;"2013-01-14";"2013-04-04";"XL";79.9;15.18;4;"1972-06-29";13;1
292289;"2012-12-01";"2012-12-06";"XXL";39.9;7.58;4;"1968-03-15";10;0
324761;"2013-01-09";"2013-02-21";"XXL";89.9;17.08;4;"1957-02-05";15;1
142400;"2012-07-25";"2012-07-26";"xl";159.95;30.39;4;"1970-03-13";3;1
135559;"2012-07-12";"2012-07-16";"l";19.9;3.78;4;"1976-04-26";2;1
40701;"2012-05-02";"2012-05-04";"m";199.95;37.99;4;"1976-12-20";10;1
91047;"2012-06-14";"2012-06-18";"xl";29.9;5.68;4;"1970-03-08";2;1
374853;"2013-02-02";"2013-02-12";"S";59.9;11.38;4;"1965-01-18";2;0
201441;"2012-09-12";"2012-10-29";"l";49.9;9.48;4;"1953-11-23";1;1
372932;"2013-02-01";"2013-02-04";"L";79.9;15.18;4;"1960-05-16";7;0
453193;"2013-03-18";"2013-05-03";"xxl";59.9;11.38;4;"1953-11-25";3;0
389513;"2013-02-14";"2013-02-15";"xxl";34.9;6.63;4;"1957-04-14";11;1
353188;"2013-01-19";"2013-04-22";"M";169.95;32.29;3;"?";2;0
35349;"2012-04-27";"2012-04-30";"xl";19.9;3.78;4;"1969-12-14";10;0
454546;"2013-03-17";"2013-03-20";"L";49.9;9.48;4;"1958-08-22";10;0
102226;"2012-06-25";"2012-06-26";"xxl";69.9;13.28;4;"1947-11-24";5;1
306885;"2012-12-20";"2012-12-21";"XXL";69.9;13.28;4;"1945-05-08";3;0
28686;"2012-04-22";"2012-04-26";"l";39.9;7.58;4;"1970-08-21";10;0
12123;"2012-04-09";"2012-04-27";"m";69.9;13.28;4;"1947-10-11";10;1
161824;"2012-08-09";"2012-08-13";"l";29.9;5.68;4;"1969-06-18";10;1
97822;"2012-06-21";"1990-12-31";"xl";39.9;7.58;4;"1956-04-24";2;0
206729;"2012-09-15";"2012-10-23";"l";29.9;5.68;4;"1954-05-11";10;0
151730;"2012-08-04";"2012-08-07";"m";24.9;4.73;4;"1957-08-03";10;0
456032;"2013-03-18";"2013-03-19";"M";79.9;15.18;4;"1960-07-08";1;1
317369;"2013-01-03";"2013-02-04";"XXL";69.9;13.28;4;"1967-06-23";10;0
472583;"2013-03-26";"2013-03-28";"XL";39.9;7.58;4;"1944-08-08";1;0
192560;"2012-09-04";"2012-10-29";"m";159.9;30.38;4;"1964-02-04";10;1
472002;"2013-03-26";"2013-05-06";"M";49.9;9.48;4;"1973-05-05";1;1
448381;"2013-03-14";"2013-04-09";"XL";69.9;13.28;4;"1950-01-10";1;0
474814;"2013-03-27";"2013-04-01";"L";79.9;15.18;4;"?";10;1
397165;"2013-02-20";"2013-03-25";"M";39.9;7.58;4;"1949-11-19";9;0
433356;"2013-03-07";"2013-04-17";"s";79.9;15.18;4;"1944-12-10";10;0
79522;"2012-06-03";"2012-06-12";"xl";79.9;15.18;4;"1973-12-18";10;0
221329;"2012-09-20";"2012-10-09";"m";29.9;5.68;4;"1964-10-05";10;0
246697;"2012-10-12";"2012-10-15";"xl";17.9;3.4;4;"1961-05-07";10;0
98774;"2012-06-22";"2012-06-26";"xl";9.9;1.88;4;"1967-03-29";10;1
278663;"2012-11-12";"2012-11-14";"L";24.9;4.73;4;"1980-04-14";7;1
447202;"2013-03-14";"2013-03-18";"XL";69.9;13.28;4;"1953-03-28";1;0
69301;"2012-05-26";"?";"xxl";24.9;4.73;4;"1969-03-31";11;0
445369;"2013-03-13";"2013-04-17";"s";79.9;15.18;4;"1950-04-01";10;1
288034;"2012-11-25";"2012-11-27";"L";21.9;4.16;4;"1954-11-13";11;0
443736;"2013-03-12";"2013-04-15";"xl";39.9;7.58;4;"?";11;0
437777;"2013-03-09";"2013-03-13";"L";39.9;7.58;4;"?";8;1
375491;"2013-02-03";"2013-02-14";"L";109.9;20.88;4;"?";13;1
59481;"2012-05-19";"2012-05-22";"xl";29.9;5.68;4;"1951-08-20";1;0
165933;"2012-08-12";"2012-09-10";"xxxl";119.95;22.79;4;"1950-11-23";2;0
300126;"2012-12-12";"2012-12-14";"XL";359;68.21;4;"1958-01-20";8;1
167782;"2012-08-13";"2012-08-29";"l";39.9;7.58;4;"1954-08-23";15;1
388828;"2013-02-13";"?";"XXL";26.9;5.11;4;"?";4;0
239711;"2012-10-06";"?";"xxl";24.9;4.73;4;"1969-05-31";4;0
110251;"2012-06-27";"2012-06-29";"l";14.9;2.83;4;"1964-07-10";10;0
63263;"2012-05-21";"2012-05-23";"xxl";69.9;13.28;4;"1956-06-29";2;0
25791;"2012-04-20";"2012-04-24";"l";49.9;9.48;4;"1970-06-20";7;1
459150;"2013-03-19";"2013-03-20";"XL";39.9;7.58;4;"1955-07-19";10;0
393016;"2013-02-17";"2013-02-21";"M";16.9;3.21;4;"1963-08-19";2;0
134205;"2012-07-13";"2012-07-17";"m";49.9;9.48;4;"1952-05-13";8;1
179202;"2012-08-23";"2012-08-27";"xl";49.9;9.48;4;"1965-05-22";16;1
264663;"2012-10-26";"2012-10-30";"m";79.9;15.18;4;"1955-05-13";11;0
113302;"2012-06-28";"2012-07-03";"xxl";49.9;9.48;4;"1954-05-20";15;1
238515;"2012-10-05";"2013-01-04";"m";29.9;5.68;4;"1961-05-28";7;0
80789;"2012-06-04";"2012-06-05";"xxl";59.9;11.38;4;"1959-09-23";6;0
474585;"2013-03-27";"2013-03-29";"L";24.9;4.73;4;"1973-05-10";13;1
379210;"2013-02-06";"2013-02-07";"L";28.9;5.49;4;"1964-03-11";4;0
244152;"2012-10-09";"2012-10-15";"xl";NA;NA;4;"1959-08-13";2;1
162757;"2012-08-10";"2012-08-13";"l";79.9;15.18;4;"1970-08-23";8;1
87056;"2012-06-10";"2012-06-14";"l";39.9;7.58;4;"1939-05-14";10;0
200832;"2012-09-11";"2012-10-30";"s";99.9;18.98;4;"?";11;1
157818;"2012-08-07";"2012-08-08";"s";79.9;15.18;4;"1967-02-14";9;1
121815;"2012-07-01";"2012-07-03";"xxl";44.9;8.53;4;"1971-03-18";10;1
268799;"2012-10-30";"2012-11-01";"xxl";39.9;7.58;4;"1960-04-01";1;1
388384;"2013-02-13";"2013-02-14";"m";109.9;20.88;4;"1969-05-15";11;0
210324;"2012-09-17";"2012-10-08";"m";21.9;4.16;4;"1974-10-27";15;1
33538;"2012-04-26";"2012-04-30";"m";89.9;17.08;4;"1966-07-20";11;1
223041;"2012-09-22";"2012-09-25";"l";29.9;5.68;4;"1962-08-23";1;1
339815;"2013-01-13";"2013-01-17";"XXL";89.9;17.08;4;"1958-04-28";2;1
372038;"2013-01-31";"2013-02-05";"XL";34.9;6.63;4;"1973-09-17";14;0
402938;"2013-02-24";"2013-02-26";"S";59.9;11.38;4;"1976-06-15";1;1
118406;"2012-06-30";"2012-07-03";"l";44.9;8.53;4;"1961-11-24";1;1
187158;"2012-08-30";"2012-08-31";"l";24.9;4.73;4;"1972-10-31";10;1
413999;"2013-03-01";"2013-03-05";"XXL";49.9;9.48;4;"1958-10-17";11;0
369702;"2013-01-29";"2013-01-30";"S";69.9;13.28;4;"1951-08-29";11;1
301537;"2012-12-15";"2012-12-18";"L";49.9;9.48;4;"1963-03-27";7;1
61154;"2012-05-20";"2012-05-23";"xl";14.9;2.83;4;"1973-01-11";16;0
197142;"2012-09-08";"2012-09-11";"xl";16.9;3.21;4;"1976-05-22";10;1
364612;"2013-01-25";"2013-01-29";"L";24.9;4.73;4;"1953-03-07";8;1
334202;"2013-01-12";"2013-01-21";"XL";59.9;11.38;4;"1965-11-10";3;1
103155;"2012-06-25";"2012-06-27";"xxl";89.9;17.08;4;"1964-08-06";9;1
133852;"2012-07-13";"2012-07-17";"l";24.9;4.73;3;"1959-10-12";8;1
268387;"2012-10-30";"2012-11-26";"l";59.9;11.38;4;"1967-01-29";15;0
474968;"2013-03-26";"?";"M";79.9;15.18;4;"1957-02-10";1;0
23057;"2012-04-18";"2012-04-19";"l";69.9;13.28;4;"?";1;1
366211;"2013-01-26";"2013-01-29";"XL";64.9;12.33;4;"1963-06-03";6;1
87908;"2012-06-11";"2012-07-18";"xl";54.9;10.43;4;"1966-03-23";8;0
85077;"2012-06-08";"2012-06-13";"xxl";69.9;13.28;3;"1978-08-08";16;0
321982;"2013-01-07";"2013-04-15";"XXL";49.9;9.48;4;"1972-07-13";15;0
16589;"2012-04-12";"2012-04-14";"xl";139.9;26.58;4;"1965-06-24";1;1
287965;"2012-11-25";"2012-11-29";"XL";69.9;13.28;4;"1967-11-26";1;1
404590;"2013-02-25";"2013-02-27";"L";24.9;4.73;4;"1970-06-19";15;1
291496;"2012-11-30";"2012-12-03";"L";89.9;17.08;4;"1953-10-27";11;0
304930;"2012-12-17";"2012-12-20";"S";179;34.01;4;"1975-01-24";7;1
354268;"2013-01-19";"2013-01-25";"XL";29.9;5.68;4;"1955-10-27";10;0
393279;"2013-02-17";"2013-02-20";"M";24.9;4.73;4;"1969-09-28";10;1
237115;"2012-10-03";"2012-10-04";"l";26.9;5.11;4;"1970-11-07";10;0
408333;"2013-02-27";"?";"L";69.9;13.28;4;"?";6;0
401813;"2013-02-23";"2013-02-26";"L";44.9;8.53;4;"1974-03-13";6;1
462429;"2013-03-21";"2013-03-22";"M";69.9;13.28;4;"1960-12-28";10;1
13903;"2012-04-10";"2012-04-11";"m";69.9;13.28;4;"1957-01-26";2;0
422583;"2013-03-03";"2013-03-06";"XXL";26.9;5.11;4;"1961-12-30";10;0
55550;"2012-05-16";"2012-05-18";"l";12.9;2.45;4;"1966-09-13";1;0
98246;"2012-06-21";"2012-06-22";"m";34.9;6.63;4;"1969-12-04";1;1
149415;"2012-08-03";"2012-08-06";"xxl";39.9;7.58;4;"1979-01-23";8;0
346472;"2013-01-16";"2013-04-22";"S";39.9;7.58;4;"1975-01-23";1;1
356895;"2013-01-20";"2013-02-27";"L";89.9;17.08;4;"1959-03-11";8;0
315126;"2012-12-31";"2013-01-02";"L";189;35.91;4;"1953-05-20";3;1
293033;"2012-12-03";"2012-12-04";"XL";NA;NA;4;"1960-12-11";10;0
282613;"2012-11-17";"2012-11-21";"M";69.9;13.28;4;"1977-08-09";2;1
430247;"2013-03-06";"2013-03-08";"XXL";29.9;5.68;4;"1959-11-03";3;0
172235;"2012-08-17";"2012-08-21";"xl";59.9;11.38;4;"1954-12-10";10;1
201634;"2012-09-12";"2012-09-13";"l";24.9;4.73;4;"?";10;1
340413;"2013-01-13";"2013-01-17";"XXL";59.9;11.38;4;"1974-11-05";1;1
254939;"2012-10-18";"2012-11-09";"xl";21.9;4.16;4;"1970-05-10";2;0
448147;"2013-03-14";"2013-04-09";"M";24.9;4.73;4;"1965-08-10";2;1
432334;"2013-03-07";"2013-04-18";"XL";79.9;15.18;4;"1971-09-02";8;1
425373;"2013-03-04";"2013-03-07";"M";39.9;7.58;4;"1974-04-02";2;1
193122;"2012-09-04";"2012-09-06";"xxl";79.9;15.18;4;"1968-08-19";3;0
346799;"2013-01-16";"1990-12-31";"XXL";26.9;5.11;4;"1957-12-03";1;0
115832;"2012-06-29";"2012-07-03";"l";89.9;17.08;4;"1969-11-13";1;1
142773;"2012-07-25";"2012-07-30";"l";49.9;9.48;4;"1964-10-14";11;0
426225;"2013-03-05";"2013-03-07";"M";29.9;5.68;4;"1969-09-03";1;1
90571;"2012-06-14";"2012-06-15";"m";29.9;5.68;4;"1967-10-22";15;0
428778;"2013-03-05";"2013-03-08";"XL";79.9;15.18;4;"1964-06-23";2;1
39681;"2012-05-01";"2012-05-03";"xl";89.9;17.08;4;"1955-04-23";14;1
318038;"2013-01-03";"2013-02-08";"L";39.9;7.58;4;"1966-03-24";8;1
9091;"2012-04-08";"2012-04-13";"xxl";21.9;4.16;4;"1950-03-17";3;1
436887;"2013-03-09";"2013-03-12";"xxxl";29.95;5.69;4;"1970-05-04";10;0
473565;"2013-03-27";"2013-05-03";"xl";79.9;15.18;4;"?";8;1
363748;"2013-01-25";"2013-02-06";"L";34.9;6.63;4;"1967-11-19";2;0
163565;"2012-08-10";"2012-08-13";"xxl";59.9;11.38;4;"1968-02-27";7;1
10879;"2012-04-08";"2012-04-14";"l";59.9;11.38;4;"1952-09-24";10;0
82402;"2012-06-05";"2012-06-07";"m";19.9;3.78;4;"1960-01-27";4;0
411662;"2013-02-28";"2013-03-05";"XL";69.9;13.28;4;"1988-11-07";2;0
438000;"2013-03-09";"2013-03-13";"M";29.9;5.68;4;"?";4;0
271504;"2012-11-02";"2012-12-05";"L";69.9;13.28;4;"1964-04-02";10;0
70408;"2012-05-27";"2012-05-29";"s";59.9;11.38;4;"1947-02-27";10;1
16010;"2012-04-11";"2012-04-16";"l";79.9;15.18;4;"1966-11-11";2;1
202436;"2012-09-12";"2012-09-17";"xxl";59.9;11.38;4;"1991-01-21";15;0
27080;"2012-04-21";"2012-04-25";"l";54.9;10.43;4;"1959-12-04";2;0
385867;"2013-02-11";"2013-02-13";"XL";59.9;11.38;4;"1969-04-08";4;1
74404;"2012-05-30";"2012-06-01";"xl";9.9;1.88;4;"1949-05-10";1;0
196588;"2012-09-07";"2012-09-10";"l";39.9;7.58;4;"1953-10-24";10;0
315637;"2013-01-01";"2013-01-03";"M";59.9;11.38;4;"1968-09-16";10;0
345897;"2013-01-16";"2013-01-18";"L";119.9;22.78;4;"1965-10-17";10;0
234358;"2012-09-30";"2012-10-04";"xl";59.9;11.38;4;"1961-01-17";8;1
346231;"2013-01-16";"2013-01-18";"L";119.9;22.78;4;"1952-01-24";2;1
370781;"2013-01-29";"2013-05-03";"XL";59.9;11.38;4;"?";6;0
157547;"2012-08-07";"2012-08-30";"m";NA;NA;4;"1969-04-02";2;0
426126;"2013-03-05";"2013-05-10";"M";59.9;11.38;4;"?";10;0
98945;"2012-06-22";"2012-06-26";"xxl";79.9;15.18;4;"1960-08-23";2;0
394482;"2013-02-18";"2013-02-21";"XL";39.9;7.58;4;"1955-01-06";10;1
451365;"2013-03-16";"2013-03-18";"XXL";79.9;15.18;4;"1956-06-15";10;1
2907;"2012-04-03";"2012-04-06";"m";69.9;13.28;4;"1965-07-30";7;0
39920;"2012-05-01";"2012-05-03";"m";39.9;7.58;4;"1967-01-31";10;1
131998;"2012-07-11";"2012-07-19";"m";16.9;3.21;4;"1946-08-07";5;0
13615;"2012-04-10";"2012-04-19";"m";99.9;18.98;4;"1965-06-28";3;0
29592;"2012-04-23";"?";"xl";29.9;5.68;4;"1970-02-25";1;0
298136;"2012-12-10";"2012-12-11";"M";69.9;13.28;4;"1968-04-03";7;1
380782;"2013-02-07";"2013-02-15";"XL";49.9;9.48;4;"1974-06-19";10;1
415486;"2013-03-02";"2013-04-04";"XL";79.9;15.18;4;"1975-07-03";6;1
306607;"2012-12-20";"2012-12-21";"S";89.9;17.08;4;"1950-08-26";10;0
342674;"2013-01-14";"2013-01-16";"XXL";69.9;13.28;4;"1967-10-23";2;1
140318;"2012-07-22";"2012-07-24";"l";119.9;22.78;4;"1967-06-11";8;1
108195;"2012-06-27";"2012-06-28";"l";34.9;6.63;4;"1949-11-29";1;0
350128;"2013-01-17";"2013-05-08";"XL";69.9;13.28;4;"1941-04-10";10;1
22575;"2012-04-17";"2012-04-19";"m";49.9;9.48;4;"1952-12-13";10;0
30070;"2012-04-23";"2012-04-27";"xl";39.9;7.58;4;"1968-04-27";8;0
420148;"2013-03-03";"2013-03-05";"XL";29.9;5.68;4;"1974-03-01";2;1
